"Stall number","Owner","Stall name","Placering ","Koordinater","Price level","Kategori til hjulet","Cuisine type ","Stall description","Festival history"
"92-47D","Eurovenuefonden","Organic Pizza ","East (M)","55.6182901      12.0900092","High","Meat, Poultry, Fruit & Veggies","Pizza","Eurovenue Fund is an organization that every year visits Roskilde Festival with a handful of stalls. Here, we serve mainly sandwiches and pizza with all proceeds going to Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. The Organic Pizza sells breakfast bags and 100% organic pizzas","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here, we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. We have been at Roskilde Festival for over 20 years. It is the good cooperation with Roskilde Festival and especially all you festival-goers each year eating our foo, that allows us to return so we can make profits to Muscular Dystrophy. We are very conscious about our choice of products, and we always make sure to find new, fresh products, with focus on ecology."
"10-02A","PølsePusheren","PølsePusheren","East (M)","55.6182903      12.0898375","Middle","Meat, Poultry, Fruit & Veggies","Hot dog stand",,
"10-01B","Roskilde Festival","Akvavit-Baren","Gloria",,"Middle","Sweets & Drinks","Bar","From the wrecked ship by Gloria we serve modern flavored snaps and unique cocktails. Come and set your snaps prejudices to the test.",
"11-04.","Art Bar","Art Bar","Gloria",,"Middle","Sweets & Drinks","Bar",,
"06-03.","BusBus","BusBus","Gloria","55.6207213      12.0796705","High","Meat, Seafood, Poultry, Fruits & Veggies, Breakfast","Nordic","BRUNCH BUFFET - eat what you can! Roskilde Festival's biggest brunch buffet is filled with everything for recovering hangovers and for the very hungry festival-goers. Brunch is served from 9:00 to 2:00 p.m. Thursday through Sunday. GRILL MENU - Put your teeth in the festival's best roast! If you need a hearty meal, and you have a good appetite, you'd better stop by our restaurant in the Nordic Area. For only 99 kroner you get grilled roast beef, creamed potatoes and a fresh tomato salad with diced cheese and flat-leaf parsley. SANDWICH - from the red double-decker! From our red double-decker bus, we sell large, freshly made sandwiches.",
"92-37.","Børnehuset Lyngbakken","Candy","Gloria","55.6209123      12.0790812","Middle","Sweets & Drinks","Candy","Candy is the big candy shop at the festival, with an extremely wide selection of candy, popcorn, nachos and lemonade. So whether it's cold and wet, and you need chocolate and something sweet, or it is hot and dry and you need something salty and refreshing, we have the stuff. In candy it is allowed, almost expected, to let loose your inner child. Who does'nt remember Jenka, Tivoli Stænger and Super Flyers?","Candy is operated by the Support Association for Børnehuset Lyngbakken, and all employees are parents of children who attend Lyngbakken in Svogerslev, Roskilde. We do our utmost to make the ""childish"" universe shine through in the decor and content of our stall. Profits from the stall are used to provide children and educators experiences and opportunities beyond the kindergarten's regular budget. During the year the  support association provide grants to colony residences, theatrical tours, creative projects and pedagogical approaches – things that can not be accommodated in the daily budget"
"10-04.","Døp - Den Økologiske Pølsemand","Døp - Den Økologiske Pølsemand","Gloria","55.6211299      12.0802180","High","Meat, Fruits & Veggies ","Sausage stall","At 'døp' a hot dog is a meal that saturates and it is a taste experience beyond the usual in a hot dog stand. Everything is 100% organic and more things are also 'keyhole' labeled. We were at the Roskilde Festival for the first time in 2010. We had great success - approx. 1.5 km of gut was used for the sausages we sold.","The concept ""døp"" was developed by Claus Christensen, Bachelor of Nutrition and Health in collaboration with the company Hanegal. You can also find døp on Facebook: http://www.facebook.com/ #! / pages / d% C3% B8p-the-% C3% B8kologiske-p% C3% B8lsemand/321153710065"
"10-01A","Roskilde Festival","eXhibitionist","Gloria","55.6206633      12.0802803","Middle","Sweets & Drinks","Bar","Join the vernissage at eXhibitionist and enjoy the colorful display of people and images with a glass of bubbles. The bar's intimate light setting and champagne cocktails give you a real sophisticated rock'n'roll festival feeling.",
"04-01A","Folkekøkkenet","Folkekøkkenet","Gloria","55.6209752      12.0807270","Middle","Meat, Poultry, Fruits & Veggies ","Nordic","If it is long since you've eaten at your grandma, Folkekøkkenet (People's Kitchen) is a qualified alternative. The menu is traditional Danish dishes with roast pork, minced meat and soup. ""How Denmark would taste if it was a kitchen. Here, they make old school homemade Danish food. This is really homemade and you have to take your hat off for that"", 'The Bald Chef' said in ""ORANGE PRESS"" after his visit to the People's Kitchen in 2010","The two Nørrebro boys behind 'Folkekøkkenet' and 'One Night in Bangkok', Dennis Glavas & Mark Mladenovic, have developed their friendship for 32 years and their food for 8 years."
"10-18.","Fonden Roskilde Festival","Ice Cream","Gloria",,"Middle","Sweets & Drinks","Ice cream",,
"10-14B ","KentKaffe","Kaffe Laboratorium","Gloria",,"Middle","Sweets & Drinks","Coffee","At Kent Kaffe Laboratorium we serve both hot and cold coffee drinks, Irish coffee, tea, hot chocolate, sandwiches and cakes. Everything is organic quality experiences made of great products. Our special ""Roskilde roast"" will be served and we roast it on site in a classical gas-fired drum roaster for slow roast.","Kent kaffe Laboratorium is one of Copenhagen's most experimental coffee bars where the focal point is a good cup of coffee, roasted and brewed with perfection in new ways to highlight each variety for unique tastes. All our coffee is organic and Fair Trade and is roast from our own coffee roaster in Funen. With a focus on taste from the different beans and differentiated brewing methods, the goal is to broaden our guests perceptual spectra and knowledge of coffee. A different kind of coffee experience where it is possible to taste different organic beans from large parts of the world."
"08-04A","Kaffekværnen","Kaffekværnen","Gloria","55.6209752      12.0807270","Middle","Sweets & Drinks","Coffee","At the small mobile coffee bar, Kaffekværnen (the coffee grinder), you can get well-brewed quality coffee in many flavors, or a hot cup of chocolate.",
"09-09. ","Christian Puglisi","Manfreds","Gloria",,"Middle","Fruits & Veggies, Breakfast","Nordic","Manfred is an organic and vegetarian soup kitchen delivering delicious food to the hungry festival-goers. This is the third year we  offer the legendary pea soup, our buttermilk dessert and celery sandwiches at reasonable prices. This year we have armed ourselves with organic carrots and wild sea buckthorn to be freshly squeezed for the thirsty souls!","Manfred is located in Jægersborggade 40 where we make everyday cooking tor the people. We focus on the vegetarian cuisine with tast as the first priority. Manfred is owned by Christian F. Puglisi and Kim Rossen who also owns and operates Manfred ""big brother"" Restaurant Relæ, which was chosen Restaurant of the year in Ibyen and awarded with a Bib Gourmand in the Michelin Guide. See more on manfreds.dk"
"10-13. ","Meyers Bageri og Deli","Meyers Bageri og Deli","Gloria","55.6209993      12.0799691","Middle","Meat, Seafood, Fruits & Veggies, Breakfast","Nordic","Visit Meyer's Bakery and Deli in Gloria. From early morning we'll give you back some color to the cheeks with fresh roasted coffees from single farms Estate, delicious breakfasts, warm cinnamon whirls from the bakery and fresh-baked bread. From lunch and throughout the day, enjoy last year's hit, roast pork sandwich, sandwich with smoked salmon and not least our version of Meatballs in curry. Our bakers put pastries in the oven from early morning to late evening. As you approach you can be smell where we are. Wash it all down with our different flavors of cold-pressed juices, refreshing smoothies or beer.",
"09-12.","Henrik Jørgensen","Monas Køkken","Gloria",,"High","Meat, Poultry, Fruits & Veggies, Breakfast","Nordic","Mona's kitchen is located in the red cattle hall in the Nordic area. The food is rooted in Nordic cuisine. We are open morning, noon and evening, using good fresh ingredients, preferably local. We focus on selling healthy and tasty dishes that will satiate you. Brunch and freshly brewed coffee, plate of grilled beef, chicken and homemade potato salad, hot sandwiches, fresh green salads and giant Frankfurt sausage are just some of the delights we serve."," Mona's kitchen is at the Roskilde Festival for the third time. We are 4 'captains' and a pack of volunteers who ensure that you can enjoy a hearty meal between concerts. Being a part of the festival and all the happy and positive people is fantastic. Our goal is to serve our guests with well-prepared dishes and minimize waiting time."
"92-39B ","Svogerslev Håndboldklub","Mor Toves","Gloria",,"Middle","Sweets & Drinks","Desserts",,
"10-03.","Mors Madpakke","Mors Madpakke","Gloria",,"Middle","Meat, Seafood, Poultry, Fruits & Veggies ","Open Danish sandwiches","In 2010, for the first time at Roskilde Festival, you could buy open danish sandwiches (smørrebrød). It was a great success and therefore Mors Madpakke will come again in 2011 and make sandwiches. You can take away or eat at our tables. It is possible to choose from 12 different kinds of sandwiches, from which 3 are vegetarian. You can also choose luxury sandwiches. Furthermore we have warm meatballs, warm crisp pork rinds and pork roast.",
"04-01B","One Night In Bangkok","One Night In Bangkok","Gloria",,"Middle","Poultry, Fruits & Veggies ","Thai","One Night in Bangkok aka ONIB is synonymous with ""Original Thai Food With Taste of Thailand"". ONIB produce high quality food that tastes of Thailand. We do not compromise on quality or ingredients. At Roskilde Festival audience knows us for more dishes, in 2011 you can taste our authentic panaeng box / chicken in oyster sauce box / vegetarian box or the popular coconut soup.","ONIB has been at the Roskilde Festival for 8 years and we see many customers who come back year after year. Among our volunteers, we also see many people coming back. We often hear: ""ONIB is a cool place to be and the food is great."" We are proud of that and we will maintain our standards."
"10-01C","Roskilde Festival","Orange-bar","Gloria",,"Middle","Sweets & Drinks","Bar","The orange feeling has absolute priority around the old ice house in the bazaar. Orangebar serves freshly squeezed orange juice, both straight and with vodka. Stop by and fresh up while you shop through the designer stables.",
"10-10.","VenteGodtGaard","The Strawberry Shop","Gloria","55.6209115      12.0797811","Low","Fruits & Veggies","Nordic","All our food is organic and vegetarian. Most of the ingredients we use are produced locally, either by ourselves or other producers in the vicinity. We try to make the tastiest food at the festival. To achieve this we insist on using as many fresh ingredients as possible and we constantly try to find new and interesting spice combinations. We also make food that can be eaten by vegans, rawfood eaters and people who can not tolerate gluten.","The Strawberry Shop is started by Ventegodtgaard which is a local organic grower. Ventegodtgaard belongs to the two brothers Jens and Søren Thorsen. If you want to know more about Ventegodtgaard, you can check their homepage: www.ventegodtgaard.dk. In The Strawberry Shop 80 volunteers are working to produce all the nice organic food. When we are on the festival we are also trying to collect money for two children’s home in Kenya. We have connection with a Danish/Kenyan organisation, Lipela, which has started these 2 homes. In our shop it is possible to donate money for the project and you can read about it on www.lipela.com. It is only our second year on the festival. But we enjoy it, so we hope we will come back here many times."
"04-05. ","Ystad","Ystad","Gloria","55.6206063      12.0806660","Middle","Meat, Fruits & Veggies ","Nordic","Hearty Swedish home cooking! Meatballs with lingonberries (tyttebär). Reindeer from Lapland. Vegetarian Pytt. Scania Dark Roasted Coffee in different varieties. Scania Apple Pie with homemade vanilla sauce","The Defence Education and Training, Ystad, Skåne, Sweden. The profit from the stand goes to crisis management & support in communities struck by disasters. Since its premiere in 2004, we are improving constantly organization. We see the attendance at Roskilde as a great exercise for the association's members and above all we have great fun and thrive in the Danish festival atmosphere and with its visitors."
"08-09.","Ben and Jerrys","Ben and Jerrys","Odeon","55.6229075      12.0759701","High","Sweets & Drinks","Ice cream",,
"07-09A","Boutique Lize","Boutique Lize","Odeon","55.6229667      12.0748165","Middle","Sweets & Drinks","Bar",,
"92-09.","Den Gyldne Bønne","Den Gyldne Bønne","Odeon","55.6225993      12.0763809","Middle","Fruits & Veggies","Vegetarian","Our foodstand is one of the oldest at the Roskilde Festival. Since 1983, we’ve been serving the most scrumptious organic food at the whole festival. Our concept is selling great organic vege food made right from scratch, with fresh, local, organic commodities. We serve both vegetarian and vegan dishes.","Our entire staff is built up by volunteers spanning between 17 and 50 years of age. Today the place is being run by a 3rd generation of people on the board. Every year our profits are donated to organic projects in Denmark, making more healthy food available all year round, and next Roskilde Festival"
"10-14A ","KentKaffe","Kaffe Laboratorium","Odeon","55.6227750      12.0763884","Middle","Sweets & Drinks","Coffee/Deli","At Kent kaffe Laboratorium, we serve both hot and cold coffee drinks, Irish coffee, tea, hot chocolate, sandwiches and cakes. Everything is organic quality experiences made of great products. Our special ""Roskilde roast"" will be served and we roast it on site in a classical gas-fired drum roaster for slow roast.","Kent kaffe Laboratorium is one of Copenhagen's most experimental coffee bars where the focal point is a good cup of coffee, roasted and brewed with perfection in new ways to highlight each variety for unique tastes. All our coffee is organic and Fair Trade and is roast from our own coffee roaster in Funen. With a focus on taste from the different beans and differentiated brewing methods, the goal is to broaden our guests perceptual spectra and knowledge of coffee. A different kind of coffee experience where it is possible to taste different organic beans from large parts of the world."
"07-13. ","Naturmælk","Milk & Shakes","Odeon","55.6228628      12.0762693","Middle","Meat, Seafood, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","In Milk & Shakes we sell dairy products, fresh-baked 'snails' rolls, bread with cheese or cold cuts, baked potatoes, sausages, pancakes, mini pizzas, fish, lemonade, juice, fruit and delicious drinks like smothies and milk shake - all organic and without alcohol.","Milk & Shakes was founded in 2007 as Naturmælk was official cooperation partner with the Roskilde Festival. We work with: • Naturmælk Amba • Butcher's Yard in Holbæk • Nicolas Vahé • Baker Sofus • Antons Juice • Il Fornario"
"92-47F","Eurovenuefonden","Organic Pizza ","Odeon","55.6226875      12.0763860","High","Meat, Poultry, Fruits & Veggies ","Pizza","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. In Organic Pizza, we sell 100% organic pizzas","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. We have been at Roskilde Festival for over 20 years. It is the good cooperation with Roskilde Festival, and especially all you festival-goers each year eating our food that allows us to return so we can make profits to Muscular Dystrophy. We are very conscious about our choice of products, and we always make sure to find new, fresh products, with focus on ecology."
"05-03A","Team Helsinge Håndbold","Bagel","Pavillion","55.6198351      12.0750860","Middle","Meat, Seafood, Poultry, Fruits & Veggies, Breakfast","Bagels","Here, you get freshly made bagels with ham and cheese, chicken/pesto, curry, tuna, salmon, veggie bagels. Thereto cool organic elderflower drink. Dessert like cake and tea and coffee can also be consumed in the stall.","We are Team Handball Helsinge Friends - We support Helsinge Team Handball (all their teams). The association consists of volunteer coaches, managers and board officials. We support the club financially and the profit from Roskilde are used for education, props, tours and everything a handball club may need. We have been with the festival since 2003 - we have taken over stall from the company who makes our bagels. We keep returning because our volunteers get a lot of experience - get a lot of social life and earn memories for life - We believe that the social side of a handball is a very important thing for a healthy club"
"06-06.","Hvidovre Vollyball","Brazil","Pavillion","55.6200091      12.0745235","Low","Meat, Poultry, Fruits & Veggies, Breakfast","Brazilian","When you see the Christ figure on the Brazil food stall at Pavilion, you are guaranteed a solid Brazilian inspired food concept. Choose between chicken (fango), ox (boi) and vegetarian along with the delicious and spiced rice / wok mix. We cut and chop all the vegetables ourselves - one can expect fresh produce in their food. In addition we serve Tortilla brunch and Tortilla Wrap with fried chicken and Brazilian cashew nuts. Try the popular 'Festival Menu' which also contains a Guaraná Antarctica and a surprise, which made a Danish Radio food critic write the followin: 'Gol do Brazil – the flavor is rich and a good saturation occurs immediately and keeps with you quite a few hours. Guaraná beverage is a hit. It's tasty, refreshing and sweet as that girl from Ipanema. It was, in other words a gastronomical meeting that could recall the meeting between Antonio Carlos Jobim, Sepultura, Pele and Ayrton Senna, which in this context is a compliment. Five big stars for Brazil'.","The Brazil Stall had its debut in 2006 in East Camp, and the initiative was launched to strengthen the club's economy and thereby optimize youth work and social activities in Hvidovre. Roskilde Festival has evolved to be biggest returning event for Hvidovre Volleyball Club, as the production, suppliers, employees, and many other things must run optimally - to increase profits for the club. Profits from Brazil goes directly into the sporting action for the youth in Hvidovre. It is also a pleasure to combine volunteer work with a great festival experience. In 2007 we moved into the Pavilion area and the Christ figure became the stall mascot and an easily recognizable symbol of a good meal. Brazil will be expanded and developed continuously, this year there are 170 employees and there has been made many investments to make it easier for the club to operate the booth."
"10-05.","KFUM Byggefond","Dixie Burger & Gumbo Soup","Pavillion","55.6200145      12.0741340","Middle","Meat, Fruits & Veggies","Burger","With the motto ""food of a quality we want to eat ourselves"" Byggefonden is again serving organic soup with delicious organic bun and the most tasteful and easy-to-eat burgers. As the name Dixie Burger beautifully suggests, we picked up the inspiration for our spicy and delicious burgers in the Creole cuisine - in New Orleans, Dixieland, where music, good food and happiness are inextricably linked - just as it is at the festival","When you enjoy a Dixie burger or a nice hot soup from us, you also support club life in FC Roskilde KFUM. KFUM Football Department – the Building Fund is behind the stall. It is a foundation whose funds will help construction projects in the football club. Dixie Burger was established for the first time during the Roskilde Festival 2010."
"98-13A5","Gringo","Gringo Bar","Pavillion","55.6193740      12.0745129","Middle","Sweets & Drinks","Bar","Gringo bar has over the last 15 years become a institution at the festival. It is known for the festive mood - even inside the bar, where a Pina Colada is served in a hollowed out pineapple and where a filled honeydew melon is called a Gringo Melon Ball. The drinks list is extensive and you can get festival classics as ""Jungle Juice"" and ""Blue Lagoon"". Gringobar is build from bamboo and is located at the Pavilion.",
"98-13A6","Gringo","Gringo Nachos Pavillion","Pavillion","55.6193740      12.0745129","Middle","Poultry, Fruits & Veggies ","Fast food","In the heart from the Pavilion you will find Gringo Nachos Pavilion. We serve nachos with melted cheddar cheese. Accessory: guacamole, salsa and hot chicken wings. A meal so large that it can be shared. We recommend our Nachos menu as cure for hangovers.",
"08-12.  ","Gutter Island Bar","Gutter Island Bar","Pavillion","55.6201032      12.0731321","Middle","Sweets & Drinks","Bar","Simple rock'n'roll drinks without candy colors and green leaves. Our location at Pavillion makes it possible to check out all the new and upcoming bands being presented on stage. Don't feel thirsty during concerts – you can go to the bar without missing a second of the concert. A hang for the real rockers and many of our finest musicians. And the staff wears white shirts and leather vest. Come and visit – we've got soul","Gutter Island is a garage rock festival, held at Masnedø, Vordingborg and every second year i Cph as 'Gutter City'. During the year a line of smaller 'Gutter Light' shows are hosted in different venues in Cph. The profit from Roskilde goes into the Gutter festival and as we are a small scale festival the profit from Roskilde is very important for us. We keep coming back to Roskilde as we are greatful for letting a smaller festival join in and learn from big brother Roskilde."
"92-10. ","DDS Hjalte Gruppen","Hjaltes","Pavillion","55.6198324      12.0752880","Middle","Meat, Poultry, Seafood, Fruits & Veggies, Breakfast","Mexican","For the hungry, we sell baked potato with different kinds of chili stuffing, or how about a portion of Mexican chili chicken stew? Are you hungry for fun, try our handmade chili toast. If you are looking for breakfast, ind our yogurt with crunchy toppings and coffee – it's without chili!","We earn money for Hjalte Group - a fantastic group of Blue Scouts in Roskilde. We have plenty of fresh scouts and super cool leaders who are doing exciting activities - helped by the good money we earn each year at the festival. We have been with the the festival for over 25 years, but it's nothing against the 75 years anniversary we are celebrating as a group this year."
"10-11.","Madmafiaen af 2010","Mamas Corner","Pavillion","55.6198598      12.0748222","Middle","Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Mamas Corner is characterized by food that lasts - food that we ourselves would eat during an entire festival, because we know that proper food will keep you afloat. Mamas Corner - it's sublime vegetarian crepes, the legendary chicken sandwich and the homemade buns in our breakfast.","Behind Mamas Corner is the voluntary association ""Madmafiaen of 2010"" and we donate money for charitable purposes. In 2011, we focus on AIDS affected children in Africa that we support through a project by the DanChurchAid. The people behind Mamas Corner has driven food stalls at the Roskilde Festival for over 10 years, and we return year after year because we love the Roskilde Festival, and think it is blisteringly funny to be a part of the larger puzzle."
"98-13A1","Gringo","Mojitobus","Pavillion","55.6193740      12.0745129","Middle","Sweets & Drinks","Bar","The old red chicken bus from Guatemala has had the seats removed and is now redesigned as a bar. The bus windows work as sales hatches – it goes fast when the 0.5 liter Mojitos in all shades are handed over the counter; Mojito Classic, Ginger, Rose, Orange, Royal, etc.",
"98-13A4","Gringo","Mucho Macho bar ","Pavillion","55.6193740      12.0745129","Middle","Sweets & Drinks","Bar","Mucho Machobar bar is where boys become men, where men rediscover their masculinity and where women glances with admiration! The little rascal lounge serves ""chilli in chilli "" tequila that has matured with the strongest edible chilli. ""Habanera"" is served in a sweet chilli fruit. Can you handles the challenge without tears or worse, you are rewarded withone of the bar's famous and coveted straw hats. The bar also offers tequila of superior quality and own cigars. You'll find the masculine Mucho Macho bar hidden right inside the corner of gringos canopies at Pavilion.",
"98-13A3","Gringo","Strawberry Daquiribar","Pavillion","55.6193740      12.0745129","Middle","Sweets & Drinks","Bar","It is with tremendous speed, that the bartenders mix and blend rum, ice cream, hand-picked strawberries and strawberry syrup in Strawberry Daquiri bar. Blenders are spinning in a row and red strawberries daquiries in 0.5 liter glass are topped after the guests choice with additional 2, 4, 6 or 8 oz. good dark rum. Strawberry Daquiries bar is known for the fresh and hearty drinks at the festival. You'll find it under the canopy near Gringobar at Pavilion.",
"98-13A2","Gringo","Terraza","Pavillion","55.6193740      12.0745129","Middle","Sweets & Drinks","Bar","Terraza bar on the first floor has a great view of the Pavilion area. The bar serves long drinks, the atmosphere is relaxed and there is the opportunity to sit down in the shade in the daytime. Musical guests are invited to play the piano and audiences are welcome to sing along. Classic drinks like Long Island Ice Tea, Sex on the Roof and Cosmopolitan Royal is to find on the drinks list.",
"07-11.","The Coffee Lounge","The Coffee Lounge","Pavillion","55.6193100      12.0732571","Middle","Sweets & Drinks, Breakfast","Coffee, breakfast","The Coffee Lounge offers various coffees made with quality espresso. Drop down in the sofa lounge or use take away. Breakfast, snacks, coffee break or cravings for cake: Tea, coffee, cocktails, bakery, juice, yogurt and fruits are on the menu.","The Brazil Stall had its debut in 2006 in East Camp, and the initiative was launched to strengthen the club's economy and thereby optimize youth work and social activities in Hvidovre. Roskilde Festival has evolved to be biggest returning event for Hvidovre Volleyball Club, as the production, suppliers, employees, and many other things must run optimally - to increase profits for the club. Profits from Brazil goes directly into the sporting action for the youth in Hvidovre. It is also a pleasure to combine volunteer work with a great festival experience. In 2007 we moved into the Pavilion area and the Christ figure became the stall mascot and an easily recognizable symbol of a good meal. Brazil will be expanded and developed continuously, this year there are 170 employees and there has been made many investments to make it easier for the club to operate the booth."
"92-17.","Roskilde Håndbold","Time Out","Pavillion","55.6194562      12.0755388","Middle","Meat, Seafood, Poultry, Fruits & Veggies, Sweets & Drinks ","Fast food","Take a break at Time-Out. Get burger, big-time 450 gram double burger for the very hungry, fish'n chips, french fries, china box or oriental vegetarian box. For the sweet crawing there is hot chocolate with soft ice or soft ice and slush ice for those who need to be cooled down. Bottled natural spring water and orange and apple juice. We have 31 years of experience in making good food for festival goers.","We have 31 years experience in making good food for festival goers. Proceeds go to support youth activities in Roskilde Handball. You can read more about us or see our photo album from 1980 to today www.rhfestival.dk"
"93-05","JGI Gymnastik","JGI Gymnastik","Skate","55.6216048      12.0661047","Middle","Meat, Seafood, Fruits & Veggies, Breakfast","Deli","Actually, we have food for the whole day. Breakfast of yogurt, bread, cinnamon rolls, drinking yoghurt, milk and chocolate milk, coffee and tea. All dairy products are of course organic. For the rest of the day, we have great sandwiches with chicken, ham, meatballs, tuna and vegetarian. And the indispensable roast pork sandwiches and lasagna. We have also red lemonade and elderflower juice. At night you'll just drop by for a hot soup with bread or perhaps a large cup of hot cocoa. Are you out of clean clothes – come use our 10 washing machines and 10 dryers who run around the clock to the delight of festival visitor","Jyllinge-Gundsømagle Sport Gymnastics Association Division (JGI gymnastics) has about 1100 children, adolescent and adult members, who annually goes to the gym with us. The surplus from Roskilde makes life more fun in our association. When the youth teams go on training camps, we support it with the money. That has turned into trips to Kenya, Malaysia and Australia. When we need new equipment, we use a lot of money on that. The surplus from 2010 has among other things been spent on ropes and booms etc. in the municipal hall in Gundsømagle - an investment that also benefits the local Margrethe School. In the Jyllinge Arena we also installed new equipment. We joined Roskilde Festival in 1993 and have participated ever since. The first year we only had a laundry, but added a little cafe the following year, whose biggest success was cinnamon rolls. We will continue to be at the festival because the money we earn here makes the 'cream on the cake' for the association. In short, the funds that creates the fun in our association."
"92-47C","Eurovenuefonden","Organic Pizza ","Skate","55.6217678      12.0661266","High","Meat, Poultry, Fruit & Veggies","Pizza","Eurovenue Fund is an organization that every year visits Roskilde Festival with a handful of stalls. Here, we serve mainly sandwiches and pizza with all proceeds going to Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. The Organic Pizza sells breakfast bags and 100% organic pizzas.","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. We have been at Roskilde Festival for over 20 years. It is the good cooperation with Roskilde Festival and especially all you festival-goers each year eating our foo, that allows us to return so we can make profits to Muscular Dystrophy. We are very conscious about our choice of products, and we always make sure to find new, fresh products, with focus on ecology."
"07-03. ","Ungdommens Røde Kors","Skylinebar","Skate","55.6227230      12.0672081","Middle","Sweets & Drinks","Bar","Skyline Bar is located at the skater park at Camp West, where it has fundraised money to the Red Cross Youth since 2007. The bar offers, besides beer, several different kinds of drinks. White Russian, Jägerbombs, Tequila Sunrise and more. In the warm-up period there a great party each evening, while the daily hours can be enjoyed in the bar sofas. It is also possible to get coffee and tea, and a different selection of soft drinks. During the afternoon you may be lucky to experience some of the Skyline Bar events, that could be bingo and a pub quiz – win prizes in the bar! The bar opens at 9 am and closes at 3 am","More info at skylinebar.dk"
"09-03. ","Tante T","Tante T","Skate","55.6218747      12.0661509","Middle","Meat, Fruits & Veggies, Sweets & Drinks, Breakfast","Coffee shop, Bakery","Tante T is the festival's most cozy cafe. In our place there is room to enjoy chilly ice tea, freshly brewed coffee and crispy sandwich. We have a casual café area where guests can rest their bodies and enjoy a cup of hot tea or perhaps a warm bun. We have made the festival freshest brunch - at once both extremely tasty, healthy and, not least, satiating! We always have freshly baked pastries, sausage rolls, freshly squeezed orange juice and a glass of delicious soothing chocolate milk for the picky festival-goer.","Tante T is a tea salon in Vesterbro in Copenhagen, with its own bakery and the largest selection of organic tea. It is the third time we build a café in Roskilde with the clear ambition to spread the cozy ambience and aroma of the bakery. We want to prove that you don't have to compromise with that, though you are on the festival. We are a sustainable cafe with a focus on fresh organic produce, delicious home baking and the attitude that both our volunteer enthusiasts and guests must have a fantastic festival."
"98-13C","Gringo","Greenbox","Social Zone","55.6221755      12.0734155","Middle","Sweets & Drinks","Bar","GreenBox; the seven meter high organic green lighthouse which towers up in the Social Zone. A lime green container decorated as bar, which serves organic drinks ”to go” with lids. Fast and convenient when you go to Orange Scene.",
"10-09.  ","Malbeck","Malbeck","Social Zone","55.6221842      12.0732249","Middle","Sweets & Drinks","Wine Bar","Malbeck is the Argentinean wine bar at Roskilde Festival. We serve Argentine drops: fresh, crisp and fruity white wines, sparkling bubbles and rich, juicy red wines. And of course in the same good atmosphere that exists at Istedgade 61, CPH, home address for the wine bar Malbeck. After great success and many glasses handed over the bar in 2010, we join in for the second - but absolutely not the last – time","Malbeck is owned by Hans Haahr Larsen and Patrick Mouritzen, who also operates Malbeck + Wine Store and Malbeck Vinoteria"
"10-19. ","Roskilde Handelsforening","Roskilde Mini-Shopping","Social Zone","55.6219057      12.0729024","Middle","Sweets & Drinks","Ice cream, desserts, coffee, non-food","In Roskilde Mini-Shopping, you can find a range of shops from the town of Roskilde. We sell milkshakes and sorbet shakes in the popular 'Paradis' quality - of course in different flavors. Spanish and Belgian waffles with various toppings. Chai Latte, Cafe Latte, espresso, hot chocolate, tea and iced coffee kusomi. You will also find a selection of clothes, shoes, and non-food products.","Roskilde Mini-shopping is a small part of Roskilde Trade shops. Second consecutive year at the Roskilde Festival."
"10-01D","Roskilde Festival","Standbaren","The Lakes","55.6131267      12.0827419","Middle","Sweets & Drinks","Bar","Among the creative activities and architectural gems of the bathing lake is the beach bar where you can both enjoy Caribbean cuisine and classic smashes. The cocktail bar is open from 9-03.",
